fiss_density_watersheds_id,elev_min,elev_max,elev_mean,elev_percentile_60
9918,917,1404,1120.3863636363637,1150
9917,1352,1845,1564.3511416781294,1597
9940,885,1574,1283.2162711864407,1326
9919,1260,1653,1419.7234117234118,1437
9921,1575,2271,1934.425444031392,1980
9923,1745,2178,1946.2373478539398,1965
9935,1355,2122,1751.6618623174663,1819
9924,150,898,378.0314749707015,375
9950,1062,1389,1254.3373033707865,1284
9925,1115,1549,1254.53984073244,1241
10010,1600,2114,1861.9077698695137,1937
9926,17,315,139.3890587835542,156
9927,883,1098,1008.1632928475034,1023
9928,1387,1918,1702.584245998315,1766
9929,1443,1861,1633.4047553676348,1652
9931,33,191,87.88086642599278,86
9933,108,305,191.89297409943435,196
9934,1107,1301,1251.3226666666667,1259
10011,91,291,243.89580093312597,261
9938,667,2302,1440.6826326671262,1603
9939,990,1070,1036.1525,1039
9951,838,1676,1211.6350474288568,1318
9943,1554,2550,2119.5395003376098,2183
9956,1517,1913,1732.2470397404704,1760.3999999999996
9946,320,1606,990.6558592522778,1067
9947,1626,2066,1831.1398210290827,1856
9949,507,792,695.2062073568674,709
9960,769,852,814.6762589928057,830.2
9953,1034,1524,1219.6778986279946,1225.6000000000004
9955,165,1625,920.6549982347989,1009
9965,755,929,820.9780545670226,835
9957,36,519,278.613469563966,290
9959,1427,1907,1689.2420601755118,1694
9961,588,1477,1010.0323619112165,1121
9963,942,1269,1032.8276816608995,1025
9966,831,950,873.6988120195667,872
9967,1130,1688,1444.3807189542483,1530
10000,150,1188,611.2891986062717,649
9968,981,1225,1134.5817588056916,1157
9969,795,1788,1168.674293154762,1185
9970,631,1414,1065.5023241400681,1159
9971,935,2526,1439.659330803074,1532
9975,1716,2723,2121.7897244665423,2195
9972,797,1668,1130.6964482122612,1141
9973,1034,1281,1156.801724137931,1163.4
9976,1653,2734,2134.4983436853004,2178
9982,157,234,190.35209580838324,193
9977,763,2005,1378.48706329484,1456
9979,966,1036,996.9570488396259,1000
9983,1417,2229,1835.6412045816583,1900
9984,906,945,921.090735434575,922
